name1,name2,winrate1,winrate2,wins1,wins2,losses1,losses2,odds1,odds2,outcome,tournament,exhibition,error
Young_rugal,Ryuji yamazaki,34,66,106,192,199,97,1.0,2.1,1,0,0,0
Zexion kh,Grand master ryu,29,54,25,92,59,76,1.0,1.2,1,0,0,0
Rick,Hikaru shidou kof,43,73,129,216,169,78,1.0,1.9,1,0,0,0
Kyo kusanagi 95,Deluxe may,43,38,77,104,101,167,1.0,1.9,1,0,0,0
Joker_shiki,Dally,73,56,301,152,111,116,2.0,1.0,0,0,0,0
Chuu,Pocket janemba,62,34,88,27,53,52,2.3,1.0,0,0,0,0
George,Haohmaru EX,65,34,261,84,139,157,3.4,1.0,0,0,0,0
Juli & juni,Tu shou,61,49,108,141,69,144,1.6,1.0,1,0,0,0
Button masher onomatopoeia,Ronove,63,51,102,83,58,79,3.6,1.0,0,0,0,0
Lambda 11,Keith wayne EX2,25,65,39,101,115,54,1.0,2.9,1,0,0,0
Spidermanu,Bloodia,77,45,332,150,96,181,4.7,1.0,0,0,0,0
Chad in black,Pyros,38,50,33,62,52,61,1.0,1.1,0,0,0,0
Evil ash diabolosis,Papillon,68,46,150,117,68,135,2.5,1.0,0,0,0,0
Alter wind,F-4 phantom,74,62,272,68,95,41,4.0,1.0,1,0,0,0
Adelheid EX,P tabasa,33,28,80,77,161,197,4.2,1.0,1,0,0,0
Galmyer_corps,The flash (new-52),53,52,164,86,144,77,2.1,1.0,0,0,0,0
Laharl-chan,Thanos,50,41,62,141,60,202,1.0,1.0,1,0,0,0
Fragrant310,Pocket jiren,30,40,90,59,209,86,1.0,1.4,0,0,0,0
Kyrito,Blade rider,45,46,66,68,78,78,1.0,3.7,1,0,0,0
Kohaku EX2,Gaits z,41,43,144,157,199,208,2.4,1.0,0,0,0,0
Blockhead enhanced,Fa-,43,61,54,76,69,47,1.0,1.6,0,0,0,0
Batman Normal,Thomas the tanky engine,52,47,88,45,80,50,1.1,1.0,1,0,0,0
Rajaayuri,Kill bill uma,57,26,91,34,68,94,2.3,1.0,1,0,0,0
Asuras,94_flan,26,38,75,137,213,215,1.0,1.6,1,1,0,0
Nrvnqsr chaos aa,Game master,71,64,120,241,48,131,1.0,3.6,1,1,0,0
S_youmu,Hakurei kanade,79,52,304,139,79,128,3.2,1.0,0,1,0,0
